NPS (pulgadas);Schedule;Altura Caída (m);Masa Tubería (kg);Energía Impacto (kJ);Nivel de Riesgo
12;40;16;443,2;69,56;CATASTRÓFICO (Púrpura)
12;40;15;443,2;65,21;CATASTRÓFICO (Púrpura)
12;40;14;443,2;60,86;CATASTRÓFICO (Púrpura)
10;40;16;361,8;56,78;CATASTRÓFICO (Púrpura)
12;40;13;443,2;56,52;CATASTRÓFICO (Púrpura)
10;40;15;361,8;53,23;CATASTRÓFICO (Púrpura)
12;40;12;443,2;52,17;CATASTRÓFICO (Púrpura)
10;40;14;361,8;49,68;CATASTRÓFICO (Púrpura)
12;40;11;443,2;47,82;CATASTRÓFICO (Púrpura)
10;40;13;361,8;46,13;CATASTRÓFICO (Púrpura)
12;40;10;443,2;43,47;CATASTRÓFICO (Púrpura)
10;40;12;361,8;42,59;CATASTRÓFICO (Púrpura)
8;40;16;255,3;40,07;CATASTRÓFICO (Púrpura)
12;40;9;443,2;39,13;CATASTRÓFICO (Púrpura)
10;40;11;361,8;39,04;CATASTRÓFICO (Púrpura)
8;40;15;255,3;37,57;CATASTRÓFICO (Púrpura)
10;40;10;361,8;35,49;CATASTRÓFICO (Púrpura)
8;40;14;255,3;35,06;CATASTRÓFICO (Púrpura)
12;40;8;443,2;34,78;CATASTRÓFICO (Púrpura)
12;10;16;215,9;33,88;CATASTRÓFICO (Púrpura)
8;40;13;255,3;32,56;CATASTRÓFICO (Púrpura)
10;40;9;361,8;31,94;CATASTRÓFICO (Púrpura)
12;10;15;215,9;31,77;CATASTRÓFICO (Púrpura)
12;40;7;443,2;30,43;CATASTRÓFICO (Púrpura)
8;40;12;255,3;30,05;CATASTRÓFICO (Púrpura)
12;10;14;215,9;29,65;CATASTRÓFICO (Púrpura)
10;40;8;361,8;28,39;CATASTRÓFICO (Púrpura)
8;40;11;255,3;27,55;CATASTRÓFICO (Púrpura)
12;10;13;215,9;27,53;CATASTRÓFICO (Púrpura)
6;40;16;169,6;26,62;CATASTRÓFICO (Púrpura)
10;10;16;166,7;26,16;CATASTRÓFICO (Púrpura)
12;40;6;443,2;26,08;CATASTRÓFICO (Púrpura)
12;10;12;215,9;25,41;CATASTRÓFICO (Púrpura)
8;40;10;255,3;25,04;CATASTRÓFICO (Púrpura)
6;40;15;169,6;24,95;CATASTRÓFICO (Púrpura)
10;40;7;361,8;24,84;CATASTRÓFICO (Púrpura)
10;10;15;166,7;24,52;CATASTRÓFICO (Púrpura)
6;40;14;169,6;23,29;CATASTRÓFICO (Púrpura)
12;10;11;215,9;23,29;CATASTRÓFICO (Púrpura)
10;10;14;166,7;22,89;CATASTRÓFICO (Púrpura)
8;40;9;255,3;22,54;CATASTRÓFICO (Púrpura)
12;40;5;443,2;21,74;CATASTRÓFICO (Púrpura)
6;40;13;169,6;21,63;CATASTRÓFICO (Púrpura)
10;40;6;361,8;21,29;CATASTRÓFICO (Púrpura)
10;10;13;166,7;21,25;CATASTRÓFICO (Púrpura)
12;10;10;215,9;21,18;CATASTRÓFICO (Púrpura)
8;40;8;255,3;20,04;CATASTRÓFICO (Púrpura)
6;40;12;169,6;19,96;CATASTRÓFICO (Púrpura)
10;10;12;166,7;19,62;CATASTRÓFICO (Púrpura)
12;10;9;215,9;19,06;CATASTRÓFICO (Púrpura)
8;10;16;119,8;18,8;CATASTRÓFICO (Púrpura)
6;40;11;169,6;18,3;CATASTRÓFICO (Púrpura)
10;10;11;166,7;17,98;CATASTRÓFICO (Púrpura)
10;40;5;361,8;17,74;CATASTRÓFICO (Púrpura)
8;10;15;119,8;17,63;CATASTRÓFICO (Púrpura)
8;40;7;255,3;17,53;CATASTRÓFICO (Púrpura)
12;40;4;443,2;17,39;CATASTRÓFICO (Púrpura)
12;10;8;215,9;16,94;CATASTRÓFICO (Púrpura)
6;40;10;169,6;16,64;CATASTRÓFICO (Púrpura)
8;10;14;119,8;16,45;CATASTRÓFICO (Púrpura)
10;10;10;166,7;16,35;CATASTRÓFICO (Púrpura)
8;10;13;119,8;15,28;CATASTRÓFICO (Púrpura)
4;40;16;96,5;15,14;CATASTRÓFICO (Púrpura)
8;40;6;255,3;15,03;CATASTRÓFICO (Púrpura)
6;40;9;169,6;14,97;CATASTRÓFICO (Púrpura)
12;10;7;215,9;14,82;CATASTRÓFICO (Púrpura)
10;10;9;166,7;14,71;CATASTRÓFICO (Púrpura)
10;40;4;361,8;14,2;CATASTRÓFICO (Púrpura)
4;40;15;96,5;14,19;CATASTRÓFICO (Púrpura)
8;10;12;119,8;14,1;CATASTRÓFICO (Púrpura)
6;40;8;169,6;13,31;CATASTRÓFICO (Púrpura)
4;40;14;96,5;13,25;CATASTRÓFICO (Púrpura)
10;10;8;166,7;13,08;CATASTRÓFICO (Púrpura)
12;40;3;443,2;13,04;CATASTRÓFICO (Púrpura)
6;10;16;83,0;13,02;CATASTRÓFICO (Púrpura)
8;10;11;119,8;12,93;CATASTRÓFICO (Púrpura)
12;10;6;215,9;12,71;CATASTRÓFICO (Púrpura)
8;40;5;255,3;12,52;CATASTRÓFICO (Púrpura)
4;40;13;96,5;12,3;CATASTRÓFICO (Púrpura)
6;10;15;83,0;12,21;CATASTRÓFICO (Púrpura)
8;10;10;119,8;11,75;CATASTRÓFICO (Púrpura)
6;40;7;169,6;11,65;CATASTRÓFICO (Púrpura)
10;10;7;166,7;11,44;CATASTRÓFICO (Púrpura)
6;10;14;83,0;11,39;CATASTRÓFICO (Púrpura)
4;40;12;96,5;11,35;CATASTRÓFICO (Púrpura)
10;40;3;361,8;10,65;CATASTRÓFICO (Púrpura)
3;40;16;67,8;10,64;CATASTRÓFICO (Púrpura)
12;10;5;215,9;10,59;CATASTRÓFICO (Púrpura)
6;10;13;83,0;10,58;CATASTRÓFICO (Púrpura)
8;10;9;119,8;10,58;CATASTRÓFICO (Púrpura)
4;40;11;96,5;10,41;CATASTRÓFICO (Púrpura)
8;40;4;255,3;10,02;CATASTRÓFICO (Púrpura)
6;40;6;169,6;9,98;GRAVE (Rojo)
3;40;15;67,8;9,97;GRAVE (Rojo)
10;10;6;166,7;9,81;GRAVE (Rojo)
6;10;12;83,0;9,77;GRAVE (Rojo)
4;40;10;96,5;9,46;GRAVE (Rojo)
8;10;8;119,8;9,4;GRAVE (Rojo)
3;40;14;67,8;9,31;GRAVE (Rojo)
6;10;11;83,0;8,95;GRAVE (Rojo)
12;40;2;443,2;8,69;GRAVE (Rojo)
3;40;13;67,8;8,64;GRAVE (Rojo)
4;40;9;96,5;8,52;GRAVE (Rojo)
12;10;4;215,9;8,47;GRAVE (Rojo)
6;40;5;169,6;8,32;GRAVE (Rojo)
8;10;7;119,8;8,23;GRAVE (Rojo)
10;10;5;166,7;8,17;GRAVE (Rojo)
6;10;10;83,0;8,14;GRAVE (Rojo)
3;40;12;67,8;7,98;GRAVE (Rojo)
4;10;16;50,2;7,88;GRAVE (Rojo)
4;40;8;96,5;7,57;GRAVE (Rojo)
8;40;3;255,3;7,51;GRAVE (Rojo)
4;10;15;50,2;7,39;GRAVE (Rojo)
6;10;9;83,0;7,32;GRAVE (Rojo)
3;40;11;67,8;7,31;GRAVE (Rojo)
10;40;2;361,8;7,1;GRAVE (Rojo)
8;10;6;119,8;7,05;GRAVE (Rojo)
4;10;14;50,2;6,9;GRAVE (Rojo)
6;40;4;169,6;6,65;GRAVE (Rojo)
3;40;10;67,8;6,65;GRAVE (Rojo)
4;40;7;96,5;6,62;GRAVE (Rojo)
10;10;4;166,7;6,54;GRAVE (Rojo)
6;10;8;83,0;6,51;GRAVE (Rojo)
4;10;13;50,2;6,4;GRAVE (Rojo)
12;10;3;215,9;6,35;GRAVE (Rojo)
3;10;16;38,7;6,08;GRAVE (Rojo)
3;40;9;67,8;5,98;GRAVE (Rojo)
4;10;12;50,2;5,91;GRAVE (Rojo)
8;10;5;119,8;5,88;GRAVE (Rojo)
3;10;15;38,7;5,7;GRAVE (Rojo)
6;10;7;83,0;5,7;GRAVE (Rojo)
4;40;6;96,5;5,68;GRAVE (Rojo)
