Schedule,Diámetro (pulgadas),Diámetro Decimal (pulgadas),Altura de caída (m),Masa (kg),Velocidad de impacto (km/h),Fuerza de impacto (kgf)
10,1,1.0,1,0.97,15.95,96.67
10,1,1.0,2,0.97,22.55,193.35
10,1,1.0,3,0.97,27.62,290.02
10,1,1.0,4,0.97,31.89,386.69
10,1,1.0,5,0.97,35.66,483.37
10,1,1.0,6,0.97,39.06,580.04
10,1,1.0,7,0.97,42.19,676.72
10,1,1.0,8,0.97,45.1,773.39
10,1,1.0,9,0.97,47.84,870.06
10,1,1.0,10,0.97,50.43,966.74
10,1,1.0,11,0.97,52.89,1063.41
10,1,1.0,12,0.97,55.24,1160.08
10,1,1.0,13,0.97,57.49,1256.76
10,1,1.0,14,0.97,59.66,1353.43
10,1,1.0,15,0.97,61.76,1450.11
10,1-1/2,1.5,1,1.48,15.95,148.37
10,1-1/2,1.5,2,1.48,22.55,296.74
10,1-1/2,1.5,3,1.48,27.62,445.11
10,1-1/2,1.5,4,1.48,31.89,593.47
10,1-1/2,1.5,5,1.48,35.66,741.84
10,1-1/2,1.5,6,1.48,39.06,890.21
10,1-1/2,1.5,7,1.48,42.19,1038.58
10,1-1/2,1.5,8,1.48,45.1,1186.95
10,1-1/2,1.5,9,1.48,47.84,1335.32
10,1-1/2,1.5,10,1.48,50.43,1483.69
10,1-1/2,1.5,11,1.48,52.89,1632.06
10,1-1/2,1.5,12,1.48,55.24,1780.42
10,1-1/2,1.5,13,1.48,57.49,1928.79
10,1-1/2,1.5,14,1.48,59.66,2077.16
10,1-1/2,1.5,15,1.48,61.76,2225.53
10,1-1/4,1.25,1,1.22,15.95,122.52
10,1-1/4,1.25,2,1.22,22.55,245.04
10,1-1/4,1.25,3,1.22,27.62,367.56
10,1-1/4,1.25,4,1.22,31.89,490.08
10,1-1/4,1.25,5,1.22,35.66,612.61
10,1-1/4,1.25,6,1.22,39.06,735.13
10,1-1/4,1.25,7,1.22,42.19,857.65
10,1-1/4,1.25,8,1.22,45.1,980.17
10,1-1/4,1.25,9,1.22,47.84,1102.69
10,1-1/4,1.25,10,1.22,50.43,1225.21
10,1-1/4,1.25,11,1.22,52.89,1347.73
10,1-1/4,1.25,12,1.22,55.24,1470.25
10,1-1/4,1.25,13,1.22,57.49,1592.78
10,1-1/4,1.25,14,1.22,59.66,1715.3
10,1-1/4,1.25,15,1.22,61.76,1837.82
10,1/2,0.5,1,0.45,15.95,44.98
10,1/2,0.5,2,0.45,22.55,89.96
10,1/2,0.5,3,0.45,27.62,134.94
10,1/2,0.5,4,0.45,31.89,179.91
10,1/2,0.5,5,0.45,35.66,224.89
10,1/2,0.5,6,0.45,39.06,269.87
10,1/2,0.5,7,0.45,42.19,314.85
