NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
12,40,16,443.17,63.78,7851.92,69.56,5.42,15.0
12,40,15,443.17,61.76,7602.59,65.21,5.25,14.62
12,30,16,391.11,63.78,6929.69,61.39,5.42,15.0
12,40,14,443.17,59.66,7344.8,60.86,5.07,14.22
12,30,15,391.11,61.76,6709.64,57.55,5.25,14.62
10,40,16,361.75,63.78,6409.43,56.78,5.42,15.0
12,40,13,443.17,57.49,7077.63,56.52,4.88,13.82
12,30,14,391.11,59.66,6482.13,53.72,5.07,14.22
10,40,15,361.75,61.76,6205.91,53.23,5.25,14.62
12,40,12,443.17,55.24,6799.97,52.17,4.69,13.39
12,30,13,391.11,57.49,6246.33,49.88,4.88,13.82
10,40,14,361.75,59.66,5995.47,49.68,5.07,14.22
10,30,16,306.08,63.78,5423.11,48.04,5.42,15.0
12,40,11,443.17,52.89,6510.47,47.82,4.49,12.95
12,20,16,298.28,63.78,5284.81,46.82,5.42,15.0
10,40,13,361.75,57.49,5777.38,46.13,4.88,13.82
12,30,12,391.11,55.24,6001.28,46.04,4.69,13.39
10,30,15,306.08,61.76,5250.9,45.04,5.25,14.62
12,20,15,298.28,61.76,5116.99,43.89,5.25,14.62
12,40,10,443.17,50.43,6207.49,43.47,4.28,12.49
10,40,12,361.75,55.24,5550.73,42.59,4.69,13.39
12,30,11,391.11,52.89,5745.79,42.21,4.49,12.95
10,30,14,306.08,59.66,5072.85,42.04,5.07,14.22
12,20,14,298.28,59.66,4943.49,40.97,5.07,14.22
8,40,16,255.29,63.78,4523.26,40.07,5.42,15.0
10,20,16,250.55,63.78,4439.11,39.33,5.42,15.0
12,40,9,443.17,47.84,5888.94,39.13,4.06,12.0
10,40,11,361.75,52.89,5314.42,39.04,4.49,12.95
10,30,13,306.08,57.49,4888.33,39.03,4.88,13.82
12,30,10,391.11,50.43,5478.4,38.37,4.28,12.49
12,20,13,298.28,57.49,4763.66,38.04,4.88,13.82
8,40,15,255.29,61.76,4379.63,37.57,5.25,14.62
10,20,15,250.55,61.76,4298.15,36.87,5.25,14.62
10,30,12,306.08,55.24,4696.55,36.03,4.69,13.39
10,40,10,361.75,50.43,5067.1,35.49,4.28,12.49
12,20,12,298.28,55.24,4576.78,35.11,4.69,13.39
8,40,14,255.29,59.66,4231.12,35.06,5.07,14.22
12,40,8,443.17,45.1,5552.15,34.78,3.83,11.49
8,30,16,220.9,63.78,3913.92,34.67,5.42,15.0
12,30,9,391.11,47.84,5197.26,34.53,4.06,12.0
10,20,14,250.55,59.66,4152.4,34.41,5.07,14.22
12,10,16,215.87,63.78,3824.72,33.88,5.42,15.0
10,30,11,306.08,52.89,4496.61,33.03,4.49,12.95
8,40,13,255.29,57.49,4077.21,32.56,4.88,13.82
8,30,15,220.9,61.76,3789.63,32.51,5.25,14.62
12,20,11,298.28,52.89,4381.93,32.19,4.49,12.95
10,20,13,250.55,57.49,4001.36,31.95,4.88,13.82
10,40,9,361.75,47.84,4807.07,31.94,4.06,12.0
12,10,15,215.87,61.76,3703.27,31.77,5.25,14.62
8,20,16,199.9,63.78,3541.8,31.38,5.42,15.0
12,30,8,391.11,45.1,4900.03,30.69,3.83,11.49
12,40,7,443.17,42.19,5193.56,30.43,3.58,10.94
8,30,14,220.9,59.66,3661.13,30.34,5.07,14.22
8,40,12,255.29,55.24,3917.26,30.05,4.69,13.39
10,30,10,306.08,50.43,4287.34,30.03,4.28,12.49
12,10,14,215.87,59.66,3577.7,29.65,5.07,14.22
10,20,12,250.55,55.24,3844.38,29.49,4.69,13.39
8,20,15,199.9,61.76,3429.33,29.42,5.25,14.62
12,20,10,298.28,50.43,4178.01,29.26,4.28,12.49
10,40,8,361.75,45.1,4532.15,28.39,3.83,11.49
8,30,13,220.9,57.49,3527.96,28.17,4.88,13.82
8,40,11,255.29,52.89,3750.49,27.55,4.49,12.95
12,10,13,215.87,57.49,3447.56,27.53,4.88,13.82
8,20,14,199.9,59.66,3313.05,27.45,5.07,14.22
10,20,11,250.55,52.89,3680.71,27.04,4.49,12.95
10,30,9,306.08,47.84,4067.33,27.02,4.06,12.0
12,30,7,391.11,42.19,4583.56,26.86,3.58,10.94
6,30,16,169.58,63.78,3004.61,26.62,5.42,15.0
6,40,16,169.58,63.78,3004.61,26.62,5.42,15.0
12,20,9,298.28,47.84,3963.61,26.33,4.06,12.0
10,10,16,166.66,63.78,2952.84,26.16,5.42,15.0
12,40,6,443.17,39.06,4808.3,26.08,3.32,10.35
8,30,12,220.9,55.24,3389.55,26.0,4.69,13.39
8,20,13,199.9,57.49,3192.53,25.49,4.88,13.82
12,10,12,215.87,55.24,3312.31,25.41,4.69,13.39
8,40,10,255.29,50.43,3575.95,25.04,4.28,12.49
6,40,15,169.58,61.76,2909.2,24.95,5.25,14.62
6,30,15,169.58,61.76,2909.2,24.95,5.25,14.62
10,40,7,361.75,42.19,4239.44,24.84,3.58,10.94
10,20,10,250.55,50.43,3509.42,24.58,4.28,12.49
10,10,15,166.66,61.76,2859.07,24.52,5.25,14.62
10,30,8,306.08,45.1,3834.72,24.02,3.83,11.49
8,30,11,220.9,52.89,3245.25,23.84,4.49,12.95
8,20,12,199.9,55.24,3067.29,23.53,4.69,13.39
12,20,8,298.28,45.1,3736.92,23.41,3.83,11.49
6,30,14,169.58,59.66,2810.55,23.29,5.07,14.22
6,40,14,169.58,59.66,2810.55,23.29,5.07,14.22
12,10,11,215.87,52.89,3171.29,23.29,4.49,12.95
12,30,6,391.11,39.06,4243.55,23.02,3.32,10.35
10,10,14,166.66,59.66,2762.13,22.89,5.07,14.22
8,40,9,255.29,47.84,3392.44,22.54,4.06,12.0
10,20,9,250.55,47.84,3329.33,22.12,4.06,12.0
12,40,5,443.17,35.66,4389.36,21.74,3.03,9.71
8,30,10,220.9,50.43,3094.22,21.67,4.28,12.49
6,40,13,169.58,57.49,2708.32,21.63,4.88,13.82
6,30,13,169.58,57.49,2708.32,21.63,4.88,13.82
8,20,11,199.9,52.89,2936.7,21.57,4.49,12.95
10,40,6,361.75,39.06,3924.96,21.29,3.32,10.35
10,10,13,166.66,57.49,2661.65,21.25,4.88,13.82
12,10,10,215.87,50.43,3023.71,21.18,4.28,12.49
10,30,7,306.08,42.19,3587.05,21.02,3.58,10.94
6,20,16,133.89,63.78,2372.19,21.01,5.42,15.0
5,30,16,130.6,63.78,2313.93,20.5,5.42,15.0
5,40,16,130.6,63.78,2313.93,20.5,5.42,15.0
12,20,7,298.28,42.19,3495.57,20.48,3.58,10.94
8,40,8,255.29,45.1,3198.43,20.04,3.83,11.49
6,40,12,169.58,55.24,2602.07,19.96,4.69,13.39
6,30,12,169.58,55.24,2602.07,19.96,4.69,13.39
6,20,15,133.89,61.76,2296.86,19.7,5.25,14.62
10,20,8,250.55,45.1,3138.92,19.66,3.83,11.49
10,10,12,166.66,55.24,2557.23,19.62,4.69,13.39
8,20,10,199.9,50.43,2800.04,19.61,4.28,12.49
8,30,9,220.9,47.84,2935.44,19.5,4.06,12.0
5,30,15,130.6,61.76,2240.45,19.22,5.25,14.62
5,40,15,130.6,61.76,2240.45,19.22,5.25,14.62
12,30,5,391.11,35.66,3873.81,19.18,3.03,9.71
12,10,9,215.87,47.84,2868.54,19.06,4.06,12.0
8,10,16,119.81,63.78,2122.72,18.8,5.42,15.0
6,20,14,133.89,59.66,2218.98,18.39,5.07,14.22
6,30,11,169.58,52.89,2491.29,18.3,4.49,12.95
6,40,11,169.58,52.89,2491.29,18.3,4.49,12.95
10,30,6,306.08,39.06,3320.96,18.02,3.32,10.35
10,10,11,166.66,52.89,2448.36,17.98,4.49,12.95
5,40,14,130.6,59.66,2164.48,17.94,5.07,14.22
5,30,14,130.6,59.66,2164.48,17.94,5.07,14.22
10,40,5,361.75,35.66,3582.98,17.74,3.03,9.71
8,20,9,199.9,47.84,2656.35,17.65,4.06,12.0
